Metric,Units,State,year,value
Harvested acreage,acres,    North Carolina,2012,1500
Harvested acreage,acres,    Ohio,2012,660
Harvested acreage,acres,    Oregon,2012,2000
Harvested acreage,acres,    Pennsylvania,2012,820
Harvested acreage,acres,    Virginia,2012,NA
Harvested acreage,acres,    Washington ,2012,1300
Harvested acreage,acres,    Wisconsin,2012,610
Yield per acre,thousand pounds,    Arkansas,2012,NA
Yield per acre,thousand pounds,    California,2012,72
Yield per acre,thousand pounds,    Florida,2012,21
Yield per acre,thousand pounds,    Louisiana,2012,NA
Yield per acre,thousand pounds,    Michigan,2012,5.1
Yield per acre,thousand pounds,    New Jersey,2012,NA
Yield per acre,thousand pounds,    New York,2012,2.3
Yield per acre,thousand pounds,    North Carolina,2012,13.5
Yield per acre,thousand pounds,    Ohio,2012,4.2
Yield per acre,thousand pounds,    Oregon,2012,10.5
Yield per acre,thousand pounds,    Pennsylvania,2012,5.1
Yield per acre,thousand pounds,    Virginia,2012,NA
Yield per acre,thousand pounds,    Washington ,2012,7.9
Yield per acre,thousand pounds,    Wisconsin,2012,5.1
Production,million pounds,    Arkansas,2012,NA
Production,million pounds,    California,2012,2763.7
Production,million pounds,    Florida,2012,182.7
Production,million pounds,    Louisiana,2012,NA
Production,million pounds,    Michigan,2012,3.3
Production,million pounds,    New Jersey,2012,NA
Production,million pounds,    New York,2012,3.2
Production,million pounds,    North Carolina,2012,20.3
Production,million pounds,    Ohio,2012,2.8
Production,million pounds,    Oregon,2012,21.3
Production,million pounds,    Pennsylvania,2012,4.2
Production,million pounds,    Virginia,2012,NA
Production,million pounds,    Washington ,2012,10.3
Production,million pounds,    Wisconsin,2012,3.1
