year,state,type,acres,total_acres_all_vegetables
2005,Idaho,tomatoes,0.25,148.78
2005,Illinois,tomatoes,0,357.25
2005,Indiana,tomatoes,0,41.05
2005,Iowa,tomatoes,1.9,166.7
2005,Kansas,tomatoes,0,26.75
2005,Kentucky,tomatoes,2.5,24.5
2005,Louisiana,tomatoes,0,11
2005,Maine,tomatoes,0.55,293.71
2005,Maryland,tomatoes,0,360.7509
2005,Massachusetts,tomatoes,5,498.97
2005,Michigan,tomatoes,0.5,98.5
2005,Minnesota,tomatoes,2.25,749.73
2005,Mississippi,tomatoes,1,7.75
2005,Missouri,tomatoes,0,39
2005,Montana,tomatoes,4,183
2005,Nebraska,tomatoes,0,53
2005,Nevada,tomatoes,0,14
2005,New Hampshire,tomatoes,0,216.4
2005,New Jersey,tomatoes,10.12,236.645
2005,New Mexico,tomatoes,20,643
2005,New York,tomatoes,0,2952.45
2005,North Carolina,tomatoes,10,640.445
2005,North Dakota,tomatoes,0,65.15
2005,Ohio,tomatoes,0,581.2
2005,Oklahoma,tomatoes,0,180
2005,Oregon,tomatoes,21,3737
2005,Pennsylvania,tomatoes,54,868.8
2005,Rhode Island,tomatoes,2.3,40.5
2005,South Carolina,tomatoes,0,52.8
2005,South Dakota,tomatoes,1,29.25
2005,Tennessee,tomatoes,0,43
2005,Texas,tomatoes,1,624.5
2005,Utah,tomatoes,0,193.9
2005,Vermont,tomatoes,0,963
2005,Virginia,tomatoes,0,4859.4
2005,Washington,tomatoes,20,10331
2005,West Virginia,tomatoes,0,63
2005,Wisconsin,tomatoes,4.405,927.89
2005,Wyoming,tomatoes,0,0
2006,Alabama,tomatoes,0,4
2006,Alaska,tomatoes,0,0
2006,Arizona,tomatoes,0,3217
2006,Arkansas,tomatoes,0,10
2006,California,tomatoes,6167.75,61703.649999999994
2006,Colorado,tomatoes,10.41,1938.51
2006,Connecticut,tomatoes,9.5,188.17000000000002
2006,Delaware,tomatoes,0.5,2
2006,Florida,tomatoes,162,3182.5
2006,Georgia,tomatoes,0,760
2006,Hawaii,tomatoes,0.19,213.51999999999998
2006,Idaho,tomatoes,0.5,149.5
2006,Illinois,tomatoes,0,1338.86
2006,Indiana,tomatoes,0,173.35
2006,Iowa,tomatoes,0.2,132.95
2006,Kansas,tomatoes,1,22.98
2006,Kentucky,tomatoes,0,33.5
2006,Louisiana,tomatoes,0.5,12
2006,Maine,tomatoes,30,722
2006,Maryland,tomatoes,0,211.27
2006,Massachusetts,tomatoes,4,590.9
2006,Michigan,tomatoes,9.1,276.14
2006,Minnesota,tomatoes,83.67,1199.25
2006,Mississippi,tomatoes,2,3
2006,Missouri,tomatoes,0,48.8
2006,Montana,tomatoes,4,179.25
2006,Nebraska,tomatoes,0,1402
2006,Nevada,tomatoes,0,33
2006,New Hampshire,tomatoes,0,197.75
2006,New Jersey,tomatoes,24,684
2006,New Mexico,tomatoes,0,305
2006,New York,tomatoes,0,1814.44
2006,North Carolina,tomatoes,10,902
2006,North Dakota,tomatoes,24,134
2006,Ohio,tomatoes,0,569.35
2006,Oklahoma,tomatoes,0,215
2006,Oregon,tomatoes,33,4373
2006,Pennsylvania,tomatoes,59,826.13
2006,Rhode Island,tomatoes,1.3,75.8
2006,South Carolina,tomatoes,0,0
2006,South Dakota,tomatoes,0.43,79.56
2006,Tennessee,tomatoes,0,42
2006,Texas,tomatoes,13.01,2291.23
2006,Utah,tomatoes,0,0
2006,Vermont,tomatoes,0,936
2006,Virginia,tomatoes,8,322
2006,Washington,tomatoes,47.07,14274.08
2006,West Virginia,tomatoes,0,63
2006,Wisconsin,tomatoes,6,781.4300000000001
2006,Wyoming,tomatoes,0,0.5
2007,Alabama,tomatoes,0,9
2007,Alaska,tomatoes,0,0
2007,Arizona,tomatoes,0,3436.35
2007,Arkansas,tomatoes,6.5,33.25
2007,California,tomatoes,7888.35,78470.81
2007,Colorado,tomatoes,10.5,1977
2007,Connecticut,tomatoes,18,199.17000000000002
2007,Delaware,tomatoes,0,39
2007,Florida,tomatoes,153,3308.5
2007,Georgia,tomatoes,120,2113
2007,Hawaii,tomatoes,0.19,133.39
2007,Idaho,tomatoes,0,32.75
2007,Illinois,tomatoes,0,381.6
2007,Indiana,tomatoes,0,124.19
2007,Iowa,tomatoes,3.24,195.49
2007,Kansas,tomatoes,2,82.55
2007,Kentucky,tomatoes,0,0
2007,Louisiana,tomatoes,0.5,11
2007,Maine,tomatoes,11,633
2007,Maryland,tomatoes,0,268.8
2007,Massachusetts,tomatoes,4,629
2007,Michigan,tomatoes,8.75,1416.47
2007,Minnesota,tomatoes,23.41,888.49
2007,Mississippi,tomatoes,0,12
2007,Missouri,tomatoes,0.2,276.25
2007,Montana,tomatoes,4,85.45
2007,Nebraska,tomatoes,0,1195.5
2007,Nevada,tomatoes,0,661.98
2007,New Hampshire,tomatoes,0,267
2007,New Jersey,tomatoes,117,413.5
2007,New Mexico,tomatoes,0,954
2007,New York,tomatoes,0,2237.7
2007,North Carolina,tomatoes,48,659.73
2007,North Dakota,tomatoes,18,102.5
2007,Ohio,tomatoes,40,1226.55
2007,Oklahoma,tomatoes,0,236
2007,Oregon,tomatoes,25,5272
2007,Pennsylvania,tomatoes,0,1048.17
2007,Rhode Island,tomatoes,3.1,117.5
2007,South Carolina,tomatoes,19,193
2007,South Dakota,tomatoes,12,110.42
2007,Tennessee,tomatoes,0,208
2007,Texas,tomatoes,36.34,1935.8400000000001
2007,Utah,tomatoes,3,211
2007,Vermont,tomatoes,0,903
2007,Virginia,tomatoes,63.5,367.65
2007,Washington,tomatoes,40,18176
2007,West Virginia,tomatoes,0,0
2007,Wisconsin,tomatoes,8,588.73
2007,Wyoming,tomatoes,0,0
2008,Alabama,tomatoes,0,11
2008,Alaska,tomatoes,0,23.7
2008,Arizona,tomatoes,9.09,11287.34
2008,Arkansas,tomatoes,0,108
2008,California,tomatoes,8291.01,91914.95999999999
2008,Colorado,tomatoes,0.5,3554.05
2008,Connecticut,tomatoes,6.5,157.47
2008,Delaware,tomatoes,0,39
2008,Florida,tomatoes,153,3620
2008,Georgia,tomatoes,122,1875
2008,Hawaii,tomatoes,0.65,230.70999999999998
