year,state,type,acres,total_acres_all_vegetables
2006,Maine,lettuce,2,722
2006,Maryland,lettuce,0,211.27
2006,Massachusetts,lettuce,16.9,590.9
2006,Michigan,lettuce,46.5,276.14
2006,Minnesota,lettuce,9.7,1199.25
2006,Mississippi,lettuce,0.5,3
2006,Missouri,lettuce,0,48.8
2006,Montana,lettuce,3,179.25
2006,Nebraska,lettuce,3,1402
2006,Nevada,lettuce,0,33
2006,New Hampshire,lettuce,0,197.75
2006,New Jersey,lettuce,20,684
2006,New Mexico,lettuce,0,305
2006,New York,lettuce,0,1814.44
2006,North Carolina,lettuce,0,902
2006,North Dakota,lettuce,0,134
2006,Ohio,lettuce,0,569.35
2006,Oklahoma,lettuce,0,215
2006,Oregon,lettuce,143,4373
2006,Pennsylvania,lettuce,33,826.13
2006,Rhode Island,lettuce,3.9,75.8
2006,South Carolina,lettuce,0,0
2006,South Dakota,lettuce,5.25,79.56
2006,Tennessee,lettuce,0,42
2006,Texas,lettuce,72.6,2291.23
2006,Utah,lettuce,0,0
2006,Vermont,lettuce,0,936
2006,Virginia,lettuce,0,322
2006,Washington,lettuce,89.01,14274.08
2006,West Virginia,lettuce,0,63
2006,Wisconsin,lettuce,34.64,781.4300000000001
2006,Wyoming,lettuce,0,0.5
2007,Alabama,lettuce,0,9
2007,Alaska,lettuce,0,0
2007,Arizona,lettuce,2338,3436.35
2007,Arkansas,lettuce,0,33.25
2007,California,lettuce,21823.8,78470.81
2007,Colorado,lettuce,852,1977
2007,Connecticut,lettuce,2,199.17000000000002
2007,Delaware,lettuce,0,39
2007,Florida,lettuce,5,3308.5
2007,Georgia,lettuce,0,2113
2007,Hawaii,lettuce,6.9,133.39
2007,Idaho,lettuce,0.75,32.75
2007,Illinois,lettuce,17,381.6
2007,Indiana,lettuce,0,124.19
2007,Iowa,lettuce,0,195.49
2007,Kansas,lettuce,0,82.55
2007,Kentucky,lettuce,0,0
2007,Louisiana,lettuce,0,11
2007,Maine,lettuce,2,633
2007,Maryland,lettuce,0,268.8
2007,Massachusetts,lettuce,19.1,629
2007,Michigan,lettuce,10.22,1416.47
2007,Minnesota,lettuce,2,888.49
2007,Mississippi,lettuce,1,12
2007,Missouri,lettuce,0.5,276.25
2007,Montana,lettuce,3,85.45
2007,Nebraska,lettuce,0,1195.5
2007,Nevada,lettuce,0,661.98
2007,New Hampshire,lettuce,0,267
2007,New Jersey,lettuce,0,413.5
2007,New Mexico,lettuce,0,954
2007,New York,lettuce,0,2237.7
2007,North Carolina,lettuce,0,659.73
2007,North Dakota,lettuce,0,102.5
2007,Ohio,lettuce,0,1226.55
2007,Oklahoma,lettuce,0,236
2007,Oregon,lettuce,154,5272
2007,Pennsylvania,lettuce,0,1048.17
2007,Rhode Island,lettuce,10.1,117.5
2007,South Carolina,lettuce,0,193
2007,South Dakota,lettuce,0,110.42
2007,Tennessee,lettuce,0,208
2007,Texas,lettuce,4.32,1935.8400000000001
2007,Utah,lettuce,0,211
2007,Vermont,lettuce,0,903
2007,Virginia,lettuce,0,367.65
2007,Washington,lettuce,69,18176
2007,West Virginia,lettuce,0,0
2007,Wisconsin,lettuce,0,588.73
2007,Wyoming,lettuce,0,0
2008,Alabama,lettuce,0,11
2008,Alaska,lettuce,0,23.7
2008,Arizona,lettuce,5408.12,11287.34
2008,Arkansas,lettuce,0,108
2008,California,lettuce,21473.55,91914.95999999999
2008,Colorado,lettuce,345,3554.05
2008,Connecticut,lettuce,2,157.47
2008,Delaware,lettuce,0,39
2008,Florida,lettuce,5,3620
2008,Georgia,lettuce,0,1875
2008,Hawaii,lettuce,20.11,230.70999999999998
2008,Idaho,lettuce,0.7,47.95
2008,Illinois,lettuce,18,225.39999999999998
2008,Indiana,lettuce,0,111.22
2008,Iowa,lettuce,0,229.32999999999998
2008,Kansas,lettuce,0,27.1
2008,Kentucky,lettuce,0,60
2008,Louisiana,lettuce,0.01,12.03
2008,Maine,lettuce,2,757
2008,Maryland,lettuce,7,249.65
2008,Massachusetts,lettuce,19.1,629.69
2008,Michigan,lettuce,0.22,1403.89
2008,Minnesota,lettuce,11.75,1010.5600000000001
2008,Mississippi,lettuce,1,12
2008,Missouri,lettuce,0,159.26999999999998
2008,Montana,lettuce,3,96.85
2008,Nebraska,lettuce,0,757.2
2008,Nevada,lettuce,0,31
2008,New Hampshire,lettuce,0,360.2
2008,New Jersey,lettuce,0,374.6
2008,New Mexico,lettuce,1,491
2008,New York,lettuce,0,3469.17
2008,North Carolina,lettuce,0,2372.94
2008,North Dakota,lettuce,0,232.60000000000002
2008,Ohio,lettuce,0,454.34000000000003
2008,Oklahoma,lettuce,0,236
2008,Oregon,lettuce,323,5789
2008,Pennsylvania,lettuce,0,1552.42
2008,Rhode Island,lettuce,9.5,120.39999999999999
2008,South Carolina,lettuce,0,122
2008,South Dakota,lettuce,0,6.12
2008,Tennessee,lettuce,0,208
2008,Texas,lettuce,92.6,1901.46
2008,Utah,lettuce,0,211
2008,Vermont,lettuce,0,914
2008,Virginia,lettuce,0,397.1
2008,Washington,lettuce,35.5,18294.449999999997
2008,West Virginia,lettuce,0,11.98
2008,Wisconsin,lettuce,18,454.39
2008,Wyoming,lettuce,0,0.1
2010,Alabama,lettuce,0,273.279998779297
2010,Alaska,lettuce,0,0
2010,Arizona,lettuce,5385.1298828125,7403.1798450946835
2010,Arkansas,lettuce,1,26.5
2010,California,lettuce,25307.9834594727,100336.47404678105
2010,Colorado,lettuce,308.05999994278,3249.8399983315967
2010,Connecticut,lettuce,1,205.86999682903286
2010,Delaware,lettuce,0,50.0699996948242
2010,Florida,lettuce,0,4679.769927978521
2010,Georgia,lettuce,0,2132.900019526482
2010,Hawaii,lettuce,35.1100006103516,308.3200020742419
2010,Idaho,lettuce,0,171.33000183105472
2010,Illinois,lettuce,1.84000000357628,338.295001085326
2010,Indiana,lettuce,0.430000007152557,247.6200002646449
2010,Iowa,lettuce,2,351.2300015926363
2010,Kansas,lettuce,0,23.84999990463257
2010,Kentucky,lettuce,0,87.8700008392334
2010,Louisiana,lettuce,1.75,24
2010,Maine,lettuce,13,537.079999923706
2010,Maryland,lettuce,0.75,731.8899965286259
2010,Massachusetts,lettuce,168.779998779297,1434.5200256347657
2010,Michigan,lettuce,5.46999998390675,450.7440017741922
2010,Minnesota,lettuce,11.5800003111362,698.4200153326988
2010,Mississippi,lettuce,1,14
2010,Missouri,lettuce,0,85.289999961853
2010,Montana,lettuce,0,90.25999999046326
2010,Nebraska,lettuce,0.0199999995529652,279.0599999897924
2010,Nevada,lettuce,1100,3421.499999523163
2010,New Hampshire,lettuce,10,300
2010,New Jersey,lettuce,0,403.710000038147
2010,New Mexico,lettuce,0,321.7700004577646
2010,New York,lettuce,117.039999999106,2873.309998568599
2010,North Carolina,lettuce,24.5799999237061,2366.800007058677
2010,North Dakota,lettuce,22.6000003814697,529.3099999427795
2010,Ohio,lettuce,0.150000005960464,421.43999409675644
2010,Oklahoma,lettuce,5,285
2010,Oregon,lettuce,415.10000002384197,4548.080004908152
2010,Pennsylvania,lettuce,3.84999990463257,1439.5466614723205
2010,Rhode Island,lettuce,3.22000002861023,38.5399993133545
2010,South Carolina,lettuce,0,240
2010,South Dakota,lettuce,0,122.25
2010,Tennessee,lettuce,0,2462.35009765625
2010,Texas,lettuce,56.656699905172,502.89700342513623
2010,Utah,lettuce,0,192
2010,Vermont,lettuce,0,1143
2010,Virginia,lettuce,0.0199999995529652,1089.270028382763
2010,Washington,lettuce,74.6999969482422,3372.700022913511
2010,West Virginia,lettuce,0,37
2010,Wisconsin,lettuce,3.86000004410744,3020.5499489313343
2010,Wyoming,lettuce,0,0
2011,Alabama,lettuce,0,0
2011,Alaska,lettuce,0,0
2011,Arizona,lettuce,5660.03002929688,9021.270142555246
2011,Arkansas,lettuce,5,133
2011,California,lettuce,26605.8618164063,88724.23900026089
2011,Colorado,lettuce,316.769999999553,3264.310002472254
2011,Connecticut,lettuce,1.20000004768372,244.30000692606006
2011,Delaware,lettuce,0,58.0099983215332
2011,Florida,lettuce,0,4591.969879150391
2011,Georgia,lettuce,23.3999996185303,2229.8499571979073
2011,Hawaii,lettuce,219.089996337891,1014.5299713611614
2011,Idaho,lettuce,4,232.1000022888186
2011,Illinois,lettuce,1.75,412.46499884128565
2011,Indiana,lettuce,0,147.4600008726125
2011,Iowa,lettuce,0,456.5799964666371
2011,Kansas,lettuce,0,32.5
2011,Kentucky,lettuce,0,62.5
2011,Louisiana,lettuce,0,30.25
2011,Maine,lettuce,13,522.079999923706
2011,Maryland,lettuce,3.0799999833107,744.2350042983892
2011,Massachusetts,lettuce,170,1332.4999876022341
2011,Michigan,lettuce,0.0599999986588955,645.1590073443948
2011,Minnesota,lettuce,1.30000001192093,1536.3199743777514
2011,Mississippi,lettuce,1.5,17.5
2011,Missouri,lettuce,0,241.0599975585941
2011,Montana,lettuce,1,482.0499999523163
2011,Nebraska,lettuce,0,195.24999856948853
2011,Nevada,lettuce,1150,3561.499999523163
2011,New Hampshire,lettuce,10,329
2011,New Jersey,lettuce,0,512.710000038147
2011,New Mexico,lettuce,0,174.0599975585938
2011,New York,lettuce,132.20000000298,2322.079997999598
2011,North Carolina,lettuce,275.820007324219,4471.449125289924
2011,North Dakota,lettuce,0,206.27999687194801
2011,Ohio,lettuce,0.209999993443489,602.2999956160783
2011,Oklahoma,lettuce,5,259
2011,Oregon,lettuce,267,4576.765013562514
2011,Pennsylvania,lettuce,2,1646.589994430542
2011,Rhode Island,lettuce,1.73000001907349,60.799999952316284
2011,South Carolina,lettuce,0,240
2011,South Dakota,lettuce,0,102.40000000596046
2011,Tennessee,lettuce,0,732.7999725341801
2011,Texas,lettuce,8.39669990539551,1334.5370204448745
2011,Utah,lettuce,0,24
2011,Vermont,lettuce,0,1053
2011,Virginia,lettuce,0,1195.2200154811105
2011,Washington,lettuce,76.6999969482422,3916.700018025931
2011,West Virginia,lettuce,0,65.5
2011,Wisconsin,lettuce,11.0100002288818,3633.039978742595
2011,Wyoming,lettuce,0,3.4300000667572
2002,Alabama,carrots,0,129
2002,Alaska,carrots,0,0
2002,Arizona,carrots,200,1645
2002,Arkansas,carrots,0,4975
2002,California,carrots,7977,38355
2002,Colorado,carrots,124,2075
2002,Connecticut,carrots,0,0
2002,Delaware,carrots,0,0
2002,Florida,carrots,0,927
2002,Georgia,carrots,0,422
2002,Hawaii,carrots,0,111
2002,Idaho,carrots,3.2,91.35
2002,Illinois,carrots,0,316
2002,Indiana,carrots,0,416
2002,Iowa,carrots,0,68
2002,Kansas,carrots,0,102
2002,Kentucky,carrots,0,0
2002,Louisiana,carrots,0,0
2002,Maine,carrots,0,0
2002,Maryland,carrots,0,500
2002,Massachusetts,carrots,0,0
2002,Michigan,carrots,0,383
2002,Minnesota,carrots,1,1076
2002,Mississippi,carrots,0,0
2002,Missouri,carrots,0,64
2002,Montana,carrots,0,22
2002,Nebraska,carrots,0,324
2002,Nevada,carrots,0,16
2002,New Hampshire,carrots,0,227.25
2002,New Jersey,carrots,0,301
2002,New Mexico,carrots,0,1040
2002,New York,carrots,0,1621
2002,North Carolina,carrots,0,607
2002,North Dakota,carrots,0,25
2002,Ohio,carrots,2,344
2002,Oklahoma,carrots,0,40
2002,Oregon,carrots,0,2648
2002,Pennsylvania,carrots,0,425
2002,Rhode Island,carrots,6.8,43.9
2002,South Carolina,carrots,0,0
2002,South Dakota,carrots,0,63
2002,Tennessee,carrots,0,64
2002,Texas,carrots,4,246
2002,Utah,carrots,0,146
2002,Vermont,carrots,0,746
2002,Virginia,carrots,0,915
2002,Washington,carrots,326,6802
2002,West Virginia,carrots,0,24
2002,Wisconsin,carrots,40,1541
2002,Wyoming,carrots,0,0
2003,Alabama,carrots,0,130
2003,Alaska,carrots,0,215
2003,Arizona,carrots,200,1379.5
2003,Arkansas,carrots,0,20
2003,California,carrots,7415,48446.625
2003,Colorado,carrots,130,1619
2003,Connecticut,carrots,0,0
2003,Delaware,carrots,0,10
2003,Florida,carrots,0,847
2003,Georgia,carrots,0,674
2003,Hawaii,carrots,0,141
2003,Idaho,carrots,0,100
2003,Illinois,carrots,0,295
2003,Indiana,carrots,0,417
2003,Iowa,carrots,2,362.68
2003,Kansas,carrots,0,101
2003,Kentucky,carrots,0,16
2003,Louisiana,carrots,0,95
2003,Maine,carrots,0,0
2003,Maryland,carrots,0,500
2003,Massachusetts,carrots,0,0
2003,Michigan,carrots,0,1269.2
2003,Minnesota,carrots,0,1148.96
2003,Mississippi,carrots,0,0
2003,Missouri,carrots,0,6
2003,Montana,carrots,0,109
2003,Nebraska,carrots,0,97
2003,Nevada,carrots,0,33.25
2003,New Hampshire,carrots,0,279
2003,New Jersey,carrots,0,199
2003,New Mexico,carrots,0,1040
2003,New York,carrots,0,1671.7
2003,North Carolina,carrots,0,778
2003,North Dakota,carrots,0,75.5
2003,Ohio,carrots,2,490
2003,Oklahoma,carrots,20,76
2003,Oregon,carrots,0,2782.4
2003,Pennsylvania,carrots,0,636
2003,Rhode Island,carrots,0,43.9
2003,South Carolina,carrots,0,22
2003,South Dakota,carrots,0,54.8
2003,Tennessee,carrots,0,64
2003,Texas,carrots,2.76,290.42
2003,Utah,carrots,0,107.75
2003,Vermont,carrots,0,818
2003,Virginia,carrots,0,597.5
2003,Washington,carrots,161,9555
2003,West Virginia,carrots,0,42
2003,Wisconsin,carrots,10,1237.43
2003,Wyoming,carrots,0,2
2004,Alabama,carrots,0,4
2004,Alaska,carrots,2.5,16
2004,Arizona,carrots,200,2156.008
2004,Arkansas,carrots,0,32
2004,California,carrots,5591,48915.86
2004,Colorado,carrots,121.77,1555.15
2004,Connecticut,carrots,1.17,145.22
2004,Delaware,carrots,0,6
2004,Florida,carrots,0,2379.5
2004,Georgia,carrots,0,495.427
2004,Hawaii,carrots,0.5625,345.8475
2004,Idaho,carrots,2.5,266.38
2004,Illinois,carrots,1,119.59
2004,Indiana,carrots,0,89.05
2004,Iowa,carrots,0,204.7
2004,Kansas,carrots,0,76.3
2004,Kentucky,carrots,0,63.5
2004,Louisiana,carrots,0,1
2004,Maine,carrots,3.05,294.27
2004,Maryland,carrots,0,373.139
2004,Massachusetts,carrots,1.27,463.94
2004,Michigan,carrots,0,230.54
2004,Minnesota,carrots,0.5,1609.86
2004,Mississippi,carrots,0,0
2004,Missouri,carrots,0,58.5
2004,Montana,carrots,0,176
2004,Nebraska,carrots,0,67.25
2004,Nevada,carrots,0,14
2004,New Hampshire,carrots,0,178.9
2004,New Jersey,carrots,0,166.97
2004,New Mexico,carrots,0,527
2004,New York,carrots,0,4483.0464
2004,North Carolina,carrots,0,457.175
2004,North Dakota,carrots,0,111
2004,Ohio,carrots,0,601.3
2004,Oklahoma,carrots,0,163
2004,Oregon,carrots,4.5,2306.2
2004,Pennsylvania,carrots,0.25,777.95
2004,Rhode Island,carrots,0,33
2004,South Carolina,carrots,0,32
2004,South Dakota,carrots,0.5,5.05
2004,Tennessee,carrots,0,42
2004,Texas,carrots,0,817
2004,Utah,carrots,0,193.9
2004,Vermont,carrots,0,824
2004,Virginia,carrots,0,213.5
2004,Washington,carrots,139,6405.25
2004,West Virginia,carrots,0,63
2004,Wisconsin,carrots,0,960.427
2004,Wyoming,carrots,0,1
2005,Alabama,carrots,0,4
2005,Alaska,carrots,2.5,19
2005,Arizona,carrots,140,3638.94
2005,Arkansas,carrots,0,35.6
2005,California,carrots,5409,58327.37
2005,Colorado,carrots,30.55,1956.78
2005,Connecticut,carrots,1.47,168.31
2005,Delaware,carrots,0,1
2005,Florida,carrots,0,2139.5
2005,Georgia,carrots,0,605.837
2005,Hawaii,carrots,0.5625,304.7375
2005,Idaho,carrots,4,148.78
2005,Illinois,carrots,0,357.25
2005,Indiana,carrots,0,41.05
2005,Iowa,carrots,0,166.7
2005,Kansas,carrots,0,26.75
2005,Kentucky,carrots,0,24.5
2005,Louisiana,carrots,0,11
2005,Maine,carrots,3.02,293.71
2005,Maryland,carrots,0,360.7509
2005,Massachusetts,carrots,1.27,498.97
2005,Michigan,carrots,0,98.5
2005,Minnesota,carrots,0,749.73
2005,Mississippi,carrots,0.25,7.75
2005,Missouri,carrots,0,39
2005,Montana,carrots,0,183
2005,Nebraska,carrots,0,53
2005,Nevada,carrots,0,14
2005,New Hampshire,carrots,0,216.4
2005,New Jersey,carrots,0,236.645
2005,New Mexico,carrots,0,643
2005,New York,carrots,0,2952.45
2005,North Carolina,carrots,0,640.445
2005,North Dakota,carrots,0,65.15
2005,Ohio,carrots,0,581.2
2005,Oklahoma,carrots,0,180
2005,Oregon,carrots,3,3737
2005,Pennsylvania,carrots,0,868.8
2005,Rhode Island,carrots,0,40.5
2005,South Carolina,carrots,0,52.8
2005,South Dakota,carrots,0,29.25
2005,Tennessee,carrots,0,43
2005,Texas,carrots,0,624.5
2005,Utah,carrots,0,193.9
2005,Vermont,carrots,0,963
2005,Virginia,carrots,0,4859.4
2005,Washington,carrots,138,10331
2005,West Virginia,carrots,0,63
2005,Wisconsin,carrots,3,927.89
2005,Wyoming,carrots,0,0
2006,Alabama,carrots,0,4
2006,Alaska,carrots,0,0
2006,Arizona,carrots,140,3217
2006,Arkansas,carrots,0,10
2006,California,carrots,7312.11,61703.649999999994
2006,Colorado,carrots,152.85,1938.51
2006,Connecticut,carrots,0.17,188.17000000000002
2006,Delaware,carrots,0,2
2006,Florida,carrots,0,3182.5
2006,Georgia,carrots,0,760
2006,Hawaii,carrots,0,213.51999999999998
2006,Idaho,carrots,4,149.5
2006,Illinois,carrots,0,1338.86
2006,Indiana,carrots,0,173.35
2006,Iowa,carrots,0,132.95
2006,Kansas,carrots,0,22.98
2006,Kentucky,carrots,0,33.5
2006,Louisiana,carrots,0,12
2006,Maine,carrots,2,722
2006,Maryland,carrots,0,211.27
2006,Massachusetts,carrots,4,590.9
2006,Michigan,carrots,0.1,276.14
2006,Minnesota,carrots,0.72,1199.25
2006,Mississippi,carrots,0.5,3
2006,Missouri,carrots,0,48.8
2006,Montana,carrots,2,179.25
2006,Nebraska,carrots,0,1402
2006,Nevada,carrots,0,33
2006,New Hampshire,carrots,0,197.75
2006,New Jersey,carrots,3,684
2006,New Mexico,carrots,0,305
2006,New York,carrots,0,1814.44
2006,North Carolina,carrots,0,902
2006,North Dakota,carrots,0,134
2006,Ohio,carrots,0,569.35
2006,Oklahoma,carrots,0,215
2006,Oregon,carrots,12,4373
2006,Pennsylvania,carrots,0,826.13
2006,Rhode Island,carrots,0,75.8
2006,South Carolina,carrots,0,0
2006,South Dakota,carrots,0.25,79.56
2006,Tennessee,carrots,0,42
2006,Texas,carrots,47.58,2291.23
2006,Utah,carrots,0,0
2006,Vermont,carrots,0,936
2006,Virginia,carrots,0,322
2006,Washington,carrots,300,14274.08
2006,West Virginia,carrots,0,63
2006,Wisconsin,carrots,3,781.4300000000001
2006,Wyoming,carrots,0,0.5
2007,Alabama,carrots,0,9
2007,Alaska,carrots,0,0
2007,Arizona,carrots,235,3436.35
2007,Arkansas,carrots,0,33.25
2007,California,carrots,11634.2,78470.81
2007,Colorado,carrots,153,1977
2007,Connecticut,carrots,0.17,199.17000000000002
2007,Delaware,carrots,0,39
2007,Florida,carrots,0,3308.5
2007,Georgia,carrots,0,2113
2007,Hawaii,carrots,0,133.39
2007,Idaho,carrots,3,32.75
2007,Illinois,carrots,0,381.6
2007,Indiana,carrots,0,124.19
2007,Iowa,carrots,9,195.49
2007,Kansas,carrots,0,82.55
2007,Kentucky,carrots,0,0
2007,Louisiana,carrots,0,11
2007,Maine,carrots,2,633
2007,Maryland,carrots,0,268.8
2007,Massachusetts,carrots,4,629
2007,Michigan,carrots,1,1416.47
2007,Minnesota,carrots,4,888.49
2007,Mississippi,carrots,1,12
2007,Missouri,carrots,0.1,276.25
2007,Montana,carrots,0,85.45
2007,Nebraska,carrots,0,1195.5
2007,Nevada,carrots,0,661.98
2007,New Hampshire,carrots,0,267
2007,New Jersey,carrots,0,413.5
2007,New Mexico,carrots,0,954
2007,New York,carrots,0,2237.7
2007,North Carolina,carrots,0,659.73
2007,North Dakota,carrots,0,102.5
2007,Ohio,carrots,0,1226.55
2007,Oklahoma,carrots,0,236
2007,Oregon,carrots,32,5272
2007,Pennsylvania,carrots,0,1048.17
2007,Rhode Island,carrots,0.9,117.5
2007,South Carolina,carrots,0,193
2007,South Dakota,carrots,0,110.42
2007,Tennessee,carrots,0,208
2007,Texas,carrots,44.61,1935.8400000000001
2007,Utah,carrots,0,211
2007,Vermont,carrots,0,903
2007,Virginia,carrots,0,367.65
2007,Washington,carrots,399,18176
2007,West Virginia,carrots,0,0
2007,Wisconsin,carrots,15.08,588.73
2007,Wyoming,carrots,0,0
2008,Alabama,carrots,0,11
2008,Alaska,carrots,2.95,23.7
2008,Arizona,carrots,305,11287.34
2008,Arkansas,carrots,0,108
2008,California,carrots,11496.57,91914.95999999999
2008,Colorado,carrots,0,3554.05
2008,Connecticut,carrots,0.17,157.47
2008,Delaware,carrots,0,39
2008,Florida,carrots,0,3620
2008,Georgia,carrots,0,1875
2008,Hawaii,carrots,0.12,230.70999999999998
2008,Idaho,carrots,0.2,47.95
2008,Illinois,carrots,0,225.39999999999998
2008,Indiana,carrots,0,111.22
2008,Iowa,carrots,0,229.32999999999998
2008,Kansas,carrots,0,27.1
2008,Kentucky,carrots,0,60
2008,Louisiana,carrots,0,12.03
2008,Maine,carrots,3,757
2008,Maryland,carrots,1,249.65
2008,Massachusetts,carrots,4,629.69
2008,Michigan,carrots,5,1403.89
2008,Minnesota,carrots,10.76,1010.5600000000001
2008,Mississippi,carrots,1,12
2008,Missouri,carrots,0,159.26999999999998
2008,Montana,carrots,0,96.85
2008,Nebraska,carrots,0,757.2
2008,Nevada,carrots,0,31
2008,New Hampshire,carrots,0,360.2
2008,New Jersey,carrots,0,374.6
2008,New Mexico,carrots,0,491
2008,New York,carrots,0,3469.17
2008,North Carolina,carrots,0,2372.94
2008,North Dakota,carrots,1.6,232.60000000000002
2008,Ohio,carrots,0,454.34000000000003
2008,Oklahoma,carrots,0,236
2008,Oregon,carrots,13,5789
2008,Pennsylvania,carrots,0,1552.42
2008,Rhode Island,carrots,0.8,120.39999999999999
2008,South Carolina,carrots,0,122
2008,South Dakota,carrots,0,6.12
2008,Tennessee,carrots,0,208
2008,Texas,carrots,12.8,1901.46
2008,Utah,carrots,0,211
2008,Vermont,carrots,0,914
2008,Virginia,carrots,0,397.1
2008,Washington,carrots,552,18294.449999999997
2008,West Virginia,carrots,0,11.98
2008,Wisconsin,carrots,5,454.39
2008,Wyoming,carrots,0,0.1
2010,Alabama,carrots,0,273.279998779297
2010,Alaska,carrots,0,0
2010,Arizona,carrots,78,7403.1798450946835
2010,Arkansas,carrots,1,26.5
2010,California,carrots,23101.39,100336.47404678105
2010,Colorado,carrots,0.03,3249.8399983315967
2010,Connecticut,carrots,0.17,205.86999682903286
2010,Delaware,carrots,0,50.0699996948242
2010,Florida,carrots,0,4679.769927978521
2010,Georgia,carrots,0,2132.900019526482
2010,Hawaii,carrots,3.12,308.3200020742419
2010,Idaho,carrots,5,171.33000183105472
2010,Illinois,carrots,0.06,338.295001085326
2010,Indiana,carrots,0.21,247.6200002646449
2010,Iowa,carrots,0.9,351.2300015926363
2010,Kansas,carrots,0,23.84999990463257
2010,Kentucky,carrots,0,87.8700008392334
2010,Louisiana,carrots,0,24
2010,Maine,carrots,8,537.079999923706
2010,Maryland,carrots,0.75,731.8899965286259
2010,Massachusetts,carrots,10.4,1434.5200256347657
2010,Michigan,carrots,0.17,450.7440017741922
2010,Minnesota,carrots,2.31,698.4200153326988
2010,Mississippi,carrots,1,14
2010,Missouri,carrots,0,85.289999961853
2010,Montana,carrots,0,90.25999999046326
2010,Nebraska,carrots,0.02,279.0599999897924
2010,Nevada,carrots,0,3421.499999523163
2010,New Hampshire,carrots,0,300
2010,New Jersey,carrots,0,403.710000038147
2010,New Mexico,carrots,0,321.7700004577646
2010,New York,carrots,80.02,2873.309998568599
2010,North Carolina,carrots,0.35,2366.800007058677
2010,North Dakota,carrots,0.75,529.3099999427795
2010,Ohio,carrots,0,421.43999409675644
2010,Oklahoma,carrots,2,285
2010,Oregon,carrots,7,4548.080004908152
2010,Pennsylvania,carrots,1.6,1439.5466614723205
2010,Rhode Island,carrots,0.82,38.5399993133545
2010,South Carolina,carrots,0,240
2010,South Dakota,carrots,0,122.25
2010,Tennessee,carrots,0,2462.35009765625
2010,Texas,carrots,57.91,502.89700342513623
2010,Utah,carrots,0,192
2010,Vermont,carrots,0,1143
2010,Virginia,carrots,0.01,1089.270028382763
2010,Washington,carrots,275,3372.700022913511
2010,West Virginia,carrots,0,37
2010,Wisconsin,carrots,5.36,3020.5499489313343
2010,Wyoming,carrots,0,0
2011,Alabama,carrots,0,0
2011,Alaska,carrots,0,0
2011,Arizona,carrots,1,9021.270142555246
2011,Arkansas,carrots,2,133
2011,California,carrots,11382,88724.23900026089
2011,Colorado,carrots,0,3264.310002472254
2011,Connecticut,carrots,1,244.30000692606006
2011,Delaware,carrots,0,58.0099983215332
2011,Florida,carrots,0,4591.969879150391
2011,Georgia,carrots,0,2229.8499571979073
2011,Hawaii,carrots,37,1014.5299713611614
2011,Idaho,carrots,43,232.1000022888186
2011,Illinois,carrots,0,412.46499884128565
2011,Indiana,carrots,0,147.4600008726125
2011,Iowa,carrots,0,456.5799964666371
2011,Kansas,carrots,0,32.5
2011,Kentucky,carrots,0,62.5
2011,Louisiana,carrots,0,30.25
2011,Maine,carrots,8,522.079999923706
2011,Maryland,carrots,2,744.2350042983892
2011,Massachusetts,carrots,5,1332.4999876022341
2011,Michigan,carrots,0,645.1590073443948
2011,Minnesota,carrots,2,1536.3199743777514
2011,Mississippi,carrots,1,17.5
2011,Missouri,carrots,0,241.0599975585941
2011,Montana,carrots,0,482.0499999523163
2011,Nebraska,carrots,0,195.24999856948853
2011,Nevada,carrots,0,3561.499999523163
2011,New Hampshire,carrots,85,329
2011,New Jersey,carrots,0,512.710000038147
2011,New Mexico,carrots,0,174.0599975585938
2011,New York,carrots,44,2322.079997999598
2011,North Carolina,carrots,0,4471.449125289924
2011,North Dakota,carrots,0,206.27999687194801
2011,Ohio,carrots,0,602.2999956160783
2011,Oklahoma,carrots,3,259
2011,Oregon,carrots,12,4576.765013562514
2011,Pennsylvania,carrots,1,1646.589994430542
2011,Rhode Island,carrots,0,60.799999952316284
2011,South Carolina,carrots,0,240
2011,South Dakota,carrots,0,102.40000000596046
2011,Tennessee,carrots,0,732.7999725341801
2011,Texas,carrots,3,1334.5370204448745
2011,Utah,carrots,0,24
2011,Vermont,carrots,0,1053
2011,Virginia,carrots,0,1195.2200154811105
2011,Washington,carrots,431,3916.700018025931
2011,West Virginia,carrots,0,65.5
2011,Wisconsin,carrots,15,3633.039978742595
2011,Wyoming,carrots,0,3.4300000667572
2002,Alabama,mixed_less_than_5_acres,2,129
2002,Alaska,mixed_less_than_5_acres,0,0
2002,Arizona,mixed_less_than_5_acres,0,1645
2002,Arkansas,mixed_less_than_5_acres,2,4975
2002,California,mixed_less_than_5_acres,758,38355
2002,Colorado,mixed_less_than_5_acres,0,2075
2002,Connecticut,mixed_less_than_5_acres,0,0
2002,Delaware,mixed_less_than_5_acres,0,0
2002,Florida,mixed_less_than_5_acres,31,927
2002,Georgia,mixed_less_than_5_acres,30,422
2002,Hawaii,mixed_less_than_5_acres,0,111
2002,Idaho,mixed_less_than_5_acres,19.7,91.35
2002,Illinois,mixed_less_than_5_acres,15,316
2002,Indiana,mixed_less_than_5_acres,19,416
2002,Iowa,mixed_less_than_5_acres,16,68
2002,Kansas,mixed_less_than_5_acres,9,102
2002,Kentucky,mixed_less_than_5_acres,0,0
2002,Louisiana,mixed_less_than_5_acres,0,0
